Ticker;New price target;Old price targets
epd;19.0;21.8
trp;39.8;(42.8)
mo;40.8
nhi;61.8
pba;24.8
wpc;64.8
skt;10.8
hrb;17.5
o;52.8
frt;81.8
slg;60.8
xom;43.8
sun;22.0
run;49.9;(70.0)
ko;49.2
kmi;12.8
enb;31.8
lmt;302.0
ltc;36.6
wba;43.8
plnhf;5.7
swch;16.7
dbx;21.4
amc;1.99
fbio;2.89
resn;6.0
avgr;1.5
ags;4.9
hban;11.0
spce;30.0
pcrfy;9.0
t;28.41
ccl;22.9
ttcf;19.9
